domain,tld,category,severity,ip,ip_country,registered,notes
01856.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01870.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01910.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01920.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01928.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01929.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01932.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01956.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01970872.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01973.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0198969230.cfd,cfd,,HIGH,,,,Confirmed by hagezi
01993.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0202601150.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02064.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02175.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02186.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02213.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02269.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02271.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02322.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02394.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02424.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02429.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02432.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02490.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02539.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02542.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02597.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02646.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02689.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02742.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02758.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02806.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02835.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02864.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02881.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02886.cfd,cfd,,HIGH,,,,Confirmed by hagezi
029042942.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02937.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02941.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02956.cfd,cfd,,HIGH,,,,Confirmed by hagezi
02970.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03036.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03039.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03100.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03105.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03139.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03196.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03230.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03240.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03284.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03285.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03347.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03364.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03426.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03473.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03486.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03509.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03572.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03641.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03692.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03699.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03721.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03788.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03843.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03987.cfd,cfd,,HIGH,,,,Confirmed by hagezi
03mtbauthaux.cfd,cfd,,HIGH,,,,Confirmed by mitchellkrogza
04003.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04006.cfd,cfd,,HIGH,,,,Confirmed by hagezi
04018.cfd,cfd,,HIGH,,,,Confirmed by hagezi
