76.223.57.73	30	US
13.248.213.92	26	US
15.197.149.68	19	US
188.114.97.3	18	
172.237.145.27	16	US
3.33.241.96	15	US
188.114.96.3	14	
172.233.221.214	13	US
172.234.199.15	12	US
44.227.65.245	9	US
172.237.129.108	8	US
103.224.212.146	6	AU
103.224.212.147	6	AU
172.237.129.242	6	US
172.234.24.211	5	US
103.224.212.118	5	AU
103.224.182.189	5	AU
172.65.211.209	4	
8.218.208.240	4	HK
43.153.249.96	4	SG
44.227.76.166	4	US
124.156.190.61	3	HK
172.239.57.117	3	US
103.224.182.249	3	AU
172.237.129.236	3	US
43.229.5.175	3	HK
156.233.229.62	3	VN
